VGS,BLOOD,LGD,pg/l,Value
2,280.75922,2,0.01,266.75922
1.5,273.95776,2,0.01,259.95776
1,265.95977,2,0.01,251.95977
0.5,256.42456,2,0.01,242.42456
-1.84E-16,244.87532,2,0.01,230.87532
-0.5,230.63369,2,0.01,216.63369
-1,212.74168,2,0.01,198.74168
-1.5,190.01179,2,0.01,176.01179
-2,162.04242,2,0.01,148.04242
-2.44451,131.50095,2,0.01,120.50095
-2.93354,101.73214,2,0.01,94.73214
-3.40084,74.0949,2,0.01,68.0949
-4,49.30592,2,0.01,42.30592
-4.44411,28.08553,2,0.01,24.08553
-5,11.51485,2,0.01,7.51485
-5.47683,1.6259,2,0.01,-1.3741
-5.75,0.08505,2,0.01,-2.91495
-6.28299,8.13E-04,2,0.01,8.13E-04
-6.47267,5.49E-04,2,0.01,5.49E-04
-6.59597,5.45E-04,2,0.01,5.45E-04
-6.72664,5.41E-04,2,0.01,5.41E-04
-6.8141,5.36E-04,2,0.01,5.36E-04
-7,5.27E-04,2,0.01,5.27E-04
-7.5,5.13E-04,2,0.01,5.13E-04
-8,5.03E-04,2,0.01,5.03E-04
-8.5,4.95E-04,2,0.01,4.95E-04
-9,4.88E-04,2,0.01,4.88E-04
2,280.75922,2,0.02,248.75922
1.5,273.95776,2,0.02,241.95776
1,265.95977,2,0.02,233.95977
0.5,256.42456,2,0.02,224.42456
-1.84E-16,244.87532,2,0.02,212.87532
-0.5,230.63369,2,0.02,198.63369
-1,212.74168,2,0.02,180.74168
-1.5,190.01179,2,0.02,158.01179
-2,162.04242,2,0.02,130.04242
-2.44451,131.50095,2,0.02,109.80371
-2.93354,101.73214,2,0.02,90.73214
-3.40084,74.0949,2,0.02,64.0949
-4,49.30592,2,0.02,35.30592
-4.44411,28.08553,2,0.02,20.08553
-5,11.51485,2,0.02,4.51485
-5.47683,1.6259,2,0.02,-2.3741
-5.75,0.08505,2,0.02,-3.91495
-6.28299,8.13E-04,2,0.02,8.13E-04
-6.47267,5.49E-04,2,0.02,5.49E-04
-6.59597,5.45E-04,2,0.02,5.45E-04
-6.72664,5.41E-04,2,0.02,5.41E-04
-6.8141,5.36E-04,2,0.02,5.36E-04
-7,5.27E-04,2,0.02,5.27E-04
-7.5,5.13E-04,2,0.02,5.13E-04
-8,5.03E-04,2,0.02,5.03E-04
-8.5,4.95E-04,2,0.02,4.95E-04
-9,4.88E-04,2,0.02,4.88E-04
2,280.75922,2,0.05,240.75922
1.5,273.95776,2,0.05,233.95776
1,265.95977,2,0.05,225.95977
0.5,256.42456,2,0.05,216.42456
-1.84E-16,244.87532,2,0.05,204.87532
-0.5,230.63369,2,0.05,190.63369
-1,212.74168,2,0.05,172.74168
-1.5,190.01179,2,0.05,150.01179
-2,162.04242,2,0.05,122.04242
-2.44451,131.50095,2,0.05,101.80371
-2.93354,101.73214,2,0.05,82.52598
-3.40084,74.0949,2,0.05,55.39876
-4,49.30592,2,0.05,28.30592
-4.44411,28.08553,2,0.05,16.08553
-5,11.51485,2,0.05,1.51485
-5.47683,1.6259,2,0.05,-3.3741
-5.75,0.08505,2,0.05,-4.91495
-6.28299,8.13E-04,2,0.05,8.13E-04
